Company Name,Website,Industry,City,State,Revenue,Employees,Owner,Title,Founded,Email,Phone
Halloran Heating & Cooling,halloranhvac.com,HVAC,Cleveland,OH,3800000,28,Pat Halloran,Owner,1991,pat@halloranhvac.com,216-555-0142
"Halloran Heating and Cooling, Inc.",www.halloranhvac.com,HVAC,Cleveland,OH,,,,,,,216-555-0142
Bridgeway Dental Care,bridgewaydental.com,Dental,Columbus,OH,2400000,16,Dr. Nadia Okafor,Principal Dentist,2003,dr.okafor@bridgewaydental.com,614-555-0188
Steelcore Fabrication,steelcorefab.com,Machining,Akron,OH,9200000,67,Viktor Anand,President,1986,vanand@steelcorefab.com,330-555-0210
Steelcore Fabrication LLC,,Machining,Akron,OH,,67,,,,,330-555-0210
Prairie Lawn & Landscape,prairielawnco.com,Landscaping,Dayton,OH,1600000,22,Tom Beaulieu,Owner,2007,info@prairielawnco.com,937-555-0233
Sunset Pest Defense,sunsetpestdefense.com,Pest Control,Toledo,OH,2100000,15,Ray Okonjo,Founder,1999,ray@sunsetpestdefense.com,419-555-0255
Copper Kettle Catering,,Catering,Cincinnati,OH,480000,9,Mira Lindqvist,Owner,2018,copperkettle@gmail.com,513-555-0277
Northfield Auto Works,northfieldauto.com,Auto Repair,Cleveland,OH,3100000,24,Gus Petrov,Proprietor,1994,gus@northfieldauto.com,216-555-0299
Vertex AI Systems,vertexaisys.io,SaaS Startup,Columbus,OH,520000,7,Ana Reyes,Co-Founder,2023,ana@vertexaisys.io,614-555-0311
Lakeshore Home Health,lakeshorehh.com,Home Health,Sandusky,OH,7400000,130,Celia Vaughn,Owner,1996,cvaughn@lakeshorehh.com,419-555-0333
Quickpost Marketing,quickpostmktg.com,Advertising Agency,Cincinnati,OH,690000,8,Jo Almeida,Founder,2020,sales@mailinator.com,513-555-0355
